,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
64,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.06,0.72,4.23,38.22,0.58,4.37,20.42,0.58,0.15,0.39,0.27,78453,1880,11050,99757,1516,11407,53300,1512,396,1011,707,70.89,385678,273389,3.76,0.14,0.63,10274,393,1733,BUENOS AIRES
73,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,24.27,1.05,4.32,46.11,0.47,4.71,17.54,0.6,0.17,0.47,0.3,81624,3536,14517,155082,1585,15826,58974,2019,569,1570,1019,70.53,504130,355556,4.6,0.04,0.78,16339,128,2768,BUENOS AIRES
77,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,15.03,1.0,3.99,41.43,0.38,2.42,34.22,0.59,0.18,0.51,0.25,26671,1774,7076,73532,679,4296,60736,1044,327,898,450,76.55,246089,188388,5.45,0.03,0.31,10260,63,582,BUENOS AIRES
80,BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.76,1.17,3.72,51.6,0.48,3.4,18.53,0.47,0.15,0.46,0.25,136377,8077,25688,356218,3339,23486,127929,3274,1017,3182,1712,72.13,1015903,732816,5.25,0.03,0.53,38439,218,3860,BUENOS AIRES
82,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,15.77,0.99,3.39,53.91,0.31,3.32,21.17,0.35,0.11,0.46,0.22,41840,2628,9005,143070,832,8809,56194,936,294,1210,574,72.61,389341,282709,5.52,0.02,0.59,15596,61,1660,BUENOS AIRES
85,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,15.61,1.2,2.93,48.93,0.6,3.28,25.97,0.49,0.18,0.46,0.35,33114,2539,6223,103770,1275,6959,55070,1043,381,970,739,73.03,308754,225476,5.1,0.06,0.78,11506,126,1761,BUENOS AIRES
86,BUENOS AIRES_MORON,"Moron, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.37,1.11,4.33,32.59,0.37,8.53,19.3,0.54,0.15,0.51,0.2,63088,2159,8444,63520,714,16621,37606,1046,290,1001,389,74.96,270616,202856,3.04,0.03,0.86,6160,64,1754,BUENOS AIRES
101,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.39,1.16,3.76,44.72,0.73,3.72,18.11,0.54,0.14,0.46,0.27,65590,2874,9352,111175,1827,9259,45026,1335,336,1145,665,71.52,368289,263388,4.67,0.13,0.82,12294,351,2159,BUENOS AIRES
114,BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.68,0.88,3.32,31.53,0.3,3.76,32.35,0.49,0.12,0.38,0.19,22718,749,2830,26855,256,3202,27550,417,98,322,165,72.74,122895,89399,4.32,0.05,0.37,3864,42,331,BUENOS AIRES
115,BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",ALIANZA CAMBIEMOS,52.81,0.66,3.26,19.75,0.37,6.84,15.4,0.36,0.09,0.38,0.1,71522,888,4419,26750,503,9268,20854,484,118,509,130,74.1,189548,140458,2.82,0.05,0.7,3957,76,980,BUENOS AIRES
116,BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,24.03,1.0,3.84,40.18,0.5,4.02,25.09,0.53,0.12,0.43,0.26,37195,1547,5943,62200,779,6216,38831,815,191,670,400,74.58,218405,162876,4.1,0.05,0.81,6686,82,1321,BUENOS AIRES
123,BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),24.11,1.07,4.17,29.42,0.46,3.4,35.63,0.63,0.29,0.52,0.31,50195,2219,8673,61238,956,7081,74162,1315,600,1091,639,75.28,289796,218172,3.88,0.03,0.68,8456,72,1475,BUENOS AIRES
128,BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,29.11,0.94,4.36,33.99,0.49,5.08,24.63,0.49,0.14,0.51,0.26,59006,1900,8835,68891,996,10293,49921,1002,277,1035,523,72.55,291026,211133,3.17,0.07,0.77,6684,150,1620,BUENOS AIRES
131,BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",ALIANZA CAMBIEMOS,47.12,0.98,4.31,20.64,0.37,9.25,16.18,0.48,0.09,0.44,0.13,80268,1662,7339,35163,622,15762,27562,816,161,757,221,72.54,243027,176301,2.69,0.06,0.64,4744,97,1127,BUENOS AIRES
